ANO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ
1931;4676;4805;6630;7333;4467;2397;1870;1619;1448;1376;1935;2207
1932;4036;4531;3214;1976;1425;1292;1176;995;905;982;2107;3594
1933;5014;5516;3429;2692;1905;1357;1250;1072;915;1194;1799;3336
1934;6110;4222;2298;1615;1785;1167;997;897;799;877;905;1605
1935;4519;5442;5408;4716;3740;2010;1557;1237;1055;1079;1178;2585
1936;2696;2664;4174;2764;2109;1300;1092;934;861;887;1597;2724
1937;4643;5598;4242;2888;2237;1454;1231;1036;900;920;2395;4703
1938;6307;4237;3850;2372;1613;1419;1157;1033;956;914;1538;2957
1939;5096;5897;4891;2156;1627;1258;1107;1035;936;1285;1020;1707
1940;3103;4739;5500;4297;1914;1416;1187;1055;861;926;2138;3793
1941;5004;4423;4132;4791;2721;1658;1423;1260;1022;1137;1670;2315
1942;4624;4420;5277;3360;2274;1547;1300;1117;1024;1324;2274;5170
1943;6185;9469;7966;5097;2881;2113;1774;1522;1290;1394;2205;5150
1944;6328;4864;4749;3729;2518;1738;1468;1278;1102;962;1651;3848
1945;5632;6944;7973;7150;8764;3939;2591;2078;1703;1978;3267;5593
1946;7284;10080;4595;5591;3581;2453;2009;1724;1497;1518;2171;3769
1947;3749;5142;5706;7283;4318;2353;1942;1626;1613;1436;3112;4248
1948;6343;4520;5422;4016;2210;1846;1581;1359;1207;1323;1504;5155
1949;7850;9219;13034;7136;3499;2589;2155;1820;1547;1464;2929;2944
1950;4451;4716;3461;3784;2620;1742;1515;1305;1076;1266;2138;4127
1951;4179;4156;4439;4855;2522;1846;1487;1276;1103;1027;942;1641
1952;3310;4717;5792;6938;3257;1971;1605;1312;1192;1136;1782;3393
1953;3563;1792;2684;3741;1934;1308;1108;972;858;1161;1411;3189
1954;4405;2779;2780;2429;1444;1201;979;852;715;645;880;3544
1955;2310;4051;2165;2616;1437;1072;900;788;678;661;1977;3305
1956;5370;2215;4585;2543;1773;1640;1325;1067;903;841;1468;3687
1957;5948;7119;6903;7965;5817;2769;2033;1644;1373;1522;1416;4341
1958;3623;5212;3385;3104;2421;1697;1413;1421;1128;1518;1838;1798
1959;3601;3660;3495;2708;1364;1139;1015;906;820;847;1600;2711
1960;3291;5729;6124;6060;2468;1764;1388;1151;979;902;1076;4172
1961;5755;7765;6407;3479;2328;1737;1389;1188;993;883;1098;1680
1962;3616;5406;4433;3161;2003;1476;1260;993;844;1173;1967;3057
1963;5658;6556;3462;1684;1401;1119;991;898;801;712;946;1106
1964;3543;7732;5284;2569;1566;1166;1019;924;734;878;2855;4250
1965;5188;5056;5560;5836;2872;1837;1510;1269;1053;1430;2663;4170
1966;4402;6188;6708;4287;2625;1908;1513;1330;1081;1200;1911;2532
1967;5105;4685;4016;3596;2453;1537;1296;1135;968;887;1703;3911
1968;5561;4444;6495;5090;2309;1641;1430;1307;1238;1298;1760;4453
1969;2837;3950;3851;2322;1656;1233;1107;987;841;905;2631;4879
1970;5959;6441;4717;2574;1899;1428;1273;1098;1060;1561;2982;2702
1971;1650;1436;1755;1407;1122;913;827;722;743;1182;2377;6411
1972;4959;2886;3381;2972;1785;1250;1143;1021;863;1418;1969;3790
1973;4644;3784;3607;4402;2054;1443;1253;1001;836;1341;3233;4492
1974;4561;3046;3222;5184;2872;1718;1397;1233;1046;1116;1868;2410
1975;4301;4111;2392;2446;1924;1233;1133;961;780;1033;2358;2727
1976;2007;1927;2107;1765;1037;1015;796;772;985;1442;2187;4818
1977;4701;5751;2163;2131;1797;1294;1091;955;912;1149;1477;2873
1978;5872;5145;6259;4019;2490;2221;1526;1458;1187;1614;2055;4045
1979;5929;9409;15676;7174;3610;2745;2267;1949;2034;1992;3305;3333
1980;6347;9918;10490;4684;3388;2359;2220;1875;1669;1808;2380;4856
1981;5974;4916;3817;5781;2728;2026;1637;1509;1342;1960;4448;6170
1982;6811;7990;7135;6885;3678;2536;2131;1765;1586;1618;1481;1701
1983;5072;7258;9245;6550;4189;2510;2070;1748;1441;2050;3720;5827
1984;6328;2999;2686;3469;1773;1328;1158;1059;1270;1314;1691;3888
1985;5566;7789;6701;5015;2432;1773;1423;1259;1235;1636;2148;3265
1986;6332;7556;4732;2140;1753;1283;1230;1230;1128;1056;1117;1872
1987;3150;2606;2604;2759;1701;1159;1071;840;800;920;1325;3709
1988;5163;3829;4116;2843;1852;1173;1033;979;767;989;1566;2619
1989;3601;2715;3018;1672;1142;1030;1013;858;893;996;1883;5073
1990;9467;3681;3101;1975;1359;1060;1130;987;968;984;1355;1617
1991;3742;5138;4639;5139;2340;1470;1222;1125;1031;1323;2095;3057
1992;4651;9244;12915;3754;2614;1765;1444;1283;1384;1860;4269;4814
1993;5840;4644;3943;2590;1801;1439;1245;1105;981;1214;1180;2046
1994;5366;4689;4993;4521;2154;1470;1378;1081;1022;782;989;3062
1995;2872;3220;2837;2587;1731;1188;1087;851;672;895;1651;3244
1996;4478;2180;2234;1593;1184;934;785;668;699;730;1702;3317
1997;6202;4622;4461;4053;2438;1747;1294;1197;1047;1052;1343;3446
1998;3343;3360;3096;1536;1122;950;838;751;620;704;1994;3241
1999;3013;1827;4212;2245;1201;874;787;663;695;570;1601;2990
2000;4169;5271;4455;3316;1730;1188;930;923;918;703;1823;3655
2001;3158;1695;1719;1096;845;824;645;632;659;714;1201;2187
2002;4440;4761;3516;2234;1074;883;851;644;506;665;936;1871
2003;4118;4387;2737;2604;1374;983;890;747;680;506;843;1611
2004;3233;5002;6786;5329;2737;1493;1304;1010;899;889;1063;1841
2005;4123;4915;4807;4044;2133;1463;1185;975;984;923;1402;4442
2006;4388;2412;3631;4132;2229;1297;1072;1022;976;1382;2696;4062
2007;5905;6947;6765;2547;1482;1302;995;996;727;573;614;1588
2008;1933;4021;4465;3964;1901;1127;928;843;669;729;945;2303
2009;5409;5072;3542;4254;2410;1492;1236;976;1019;1393;2534;2730
2010;3459;1939;2642;2701;1289;1025;815;690;683;831;1794;3086
2011;4656;2947;4010;5080;1881;1232;1036;804;737;973;1272;3635
2012;5948;5205;2120;2114;1251;1221;904;755;653;554;1559;2143
2013;1662;3586;1762;2857;1383;1127;843;755;605;671;903;2842
2014;3420;1280;1304;1738;1009;695;767;679;634;427;770;2210
2015;1133;1558;1894;2172;1360;789;630;518;406;227;307;1078
